House Size (sqft),Bedrooms,Bathrooms,Lot Size (sqft),Year Built,Neighborhood,Garage Spaces,Pool,Fireplace,Basement,Renovated,School Rating,Price (USD)
2450,3,2.5,5900,2001,Suburban,2,1,0,1,1,8,360000
2000,2,1,4700,1992,Urban,1,0,1,0,0,7,275000
3100,4,3,7200,2008,Rural,2,1,1,0,1,6,485000
2150,3,2,5100,1995,Suburban,2,0,1,1,0,8,330000
2900,4,3,6700,2010,Urban,2,1,0,0,1,7,430000
2500,3,2.5,6000,1997,Rural,2,1,0,0,1,6,380000
1800,2,1,4500,1988,Suburban,1,1,0,1,0,7,260000
3300,4,3.5,7300,2015,Urban,3,1,1,1,1,9,580000
2350,3,2,5500,2003,Suburban,2,0,1,1,1,8,340000
2800,4,3,6800,2006,Urban,2,1,0,0,1,7,420000
2550,3,2.5,6100,1999,Rural,2,1,1,0,1,6,385000
1950,2,1,4600,1985,Suburban,1,0,0,0,0,7,270000
3200,4,3.5,7400,2018,Urban,3,1,1,1,0,9,565000
2250,3,2.5,5800,2005,Suburban,2,1,0,1,1,8,370000
1900,2,1,4800,1973,Urban,1,0,1,0,0,7,255000
3150,4,3,7100,2013,Rural,2,1,0,0,1,6,470000
2100,3,2,5000,1992,Suburban,2,0,1,1,0,8,325000
2850,4,3,6900,2007,Urban,2,1,1,0,1,7,430000
2500,3,2.5,6200,1998,Rural,2,1,0,0,1,6,390000
2000,2,1,4600,1989,Suburban,1,1,0,1,0,7,265000
3300,4,3.5,7400,2016,Urban,3,1,1,1,1,9,590000
2400,3,2,5700,2000,Suburban,2,0,1,1,1,8,345000
2750,4,3,6300,2003,Rural,2,1,0,0,1,6,400000
1950,2,1,4900,1984,Suburban,1,0,0,0,0,7,275000
3200,4,3.5,7300,2019,Urban,3,1,1,1,0,9,570000
2250,3,2.5,5900,2004,Suburban,2,1,0,1,1,8,380000
1900,2,1,4700,1972,Urban,1,0,1,0,0,7,260000
3150,4,3,7000,2014,Rural,2,1,0,0,1,6,465000
2100,3,2,5100,1993,Suburban,2,0,1,1,0,8,330000
2850,4,3,6800,2008,Urban,2,1,1,0,1,7,425000
2500,3,2.5,6000,1996,Rural,2,1,0,0,1,6,380000
2000,2,1,4500,1990,Suburban,1,1,0,1,0,7,270000
3300,4,3.5,7200,2017,Urban,3,1,1,1,1,9,585000
2400,3,2,5800,1999,Suburban,2,0,1,1,1,8,340000
2750,4,3,6400,2004,Rural,2,1,0,0,1,6,405000
1950,2,1,4800,1986,Suburban,1,0,0,0,0,7,280000
3200,4,3.5,7500,2020,Urban,3,1,1,1,0,9,575000
2250,3,2.5,6000,2006,Suburban,2,1,0,1,1,8,375000
1900,2,1,4900,1974,Urban,1,0,1,0,0,7,260000
3150,4,3,7100,2015,Rural,2,1,0,0,1,6,470000
2100,3,2,5200,1994,Suburban,2,0,1,1,0,8,325000
2850,4,3,6900,2009,Urban,2,1,1,0,1,7,430000
2500,3,2.5,6100,1997,Rural,2,1,0,0,1,6,380000
2000,2,1,4700,1991,Suburban,1,1,0,1,0,7,265000
